currency_code,currency,rate_date,buying_rate,central_rate,selling_rate,is_forward_filled,snapshot_date
XOF,Cfa,2026-05-07,2.4129,2.4229,2.4329,False,2026-05-07
CNY,Yuan/Renminbi,2026-05-07,199.1753,199.2488,199.3223,False,2026-05-07
DKK,Danish Krona,2026-05-07,213.4093,213.4880,213.5668,False,2026-05-07
EUR,Euro,2026-05-07,1592.0845,1592.6720,1593.2596,False,2026-05-07
JPY,Yen,2026-05-07,8.6638,8.6670,8.6702,False,2026-05-07
SAR,Riyal,2026-05-07,361.1971,361.3304,361.4637,False,2026-05-07
ZAR,South African Rand,2026-05-07,83.1115,83.1422,83.1728,False,2026-05-07
XDR,Sdr,2026-05-07,1860.7242,1861.4109,1862.0975,False,2026-05-07
CHF,Swiss Franc,2026-05-07,1743.0210,1743.6642,1744.3075,False,2026-05-07
GBP,Pounds Sterling,2026-05-07,1843.8156,1844.4961,1845.1765,False,2026-05-07
USD,Us Dollar,2026-05-07,1354.8502,1355.3502,1355.8502,False,2026-05-07
WAU,Waua,2026-05-07,1866.9053,1867.5943,1868.2833,False,2026-05-07
AED,Uae Dirham,2026-05-07,368.8373,368.9735,369.1096,False,2026-05-07
