currency_code,currency,rate_date,buying_rate,central_rate,selling_rate,is_forward_filled,snapshot_date
XOF,Cfa,2026-05-04,2.4364,2.4464,2.4564,False,2026-05-04
CNY,Yuan/Renminbi,2026-05-04,199.7265,199.7997,199.8729,False,2026-05-04
DKK,Danish Krona,2026-05-04,213.7825,213.8609,213.9392,False,2026-05-04
EUR,Euro,2026-05-04,1597.7884,1598.3740,1598.9596,False,2026-05-04
JPY,Yen,2026-05-04,8.6827,8.6859,8.6891,False,2026-05-04
SAR,Riyal,2026-05-04,363.7079,363.8412,363.9745,False,2026-05-04
ZAR,South African Rand,2026-05-04,81.6202,81.6501,81.6800,False,2026-05-04
XDR,Sdr,2026-05-04,1873.6088,1874.2955,1874.9822,False,2026-05-04
CHF,Swiss Franc,2026-05-04,1742.3140,1742.9526,1743.5912,False,2026-05-04
GBP,Pounds Sterling,2026-05-04,1849.8985,1850.5765,1851.2545,False,2026-05-04
USD,Us Dollar,2026-05-04,1364.2319,1364.7319,1365.2319,False,2026-05-04
XOF,Cfa,2026-05-04,1887.8197,1888.5116,1889.2035,False,2026-05-04
AED,Uae Dirham,2026-05-04,371.3610,371.4971,371.6332,False,2026-05-04
WAU,Waua,2026-05-04,1887.8197,1888.5116,1889.2035,False,2026-05-04
