currency_code,currency,rate_date,buying_rate,central_rate,selling_rate,is_forward_filled,snapshot_date
XOF,Cfa,2026-05-05,2.4142,2.4242,2.4342,False,2026-05-05
CNY,Yuan/Renminbi,2026-05-05,199.9208,199.9940,200.0672,False,2026-05-05
DKK,Danish Krona,2026-05-05,213.7494,213.8276,213.9059,False,2026-05-05
EUR,Euro,2026-05-05,1597.5677,1598.1527,1598.7376,False,2026-05-05
JPY,Yen,2026-05-05,8.6559,8.6591,8.6623,False,2026-05-05
SAR,Riyal,2026-05-05,363.8968,364.0301,364.1633,False,2026-05-05
ZAR,South African Rand,2026-05-05,82.0806,82.1107,82.1407,False,2026-05-05
XDR,Sdr,2026-05-05,1875.4317,1876.1184,1876.8051,False,2026-05-05
CHF,Swiss Franc,2026-05-05,1743.5638,1744.2022,1744.8407,False,2026-05-05
GBP,Pounds Sterling,2026-05-05,1851.4252,1852.1031,1852.7810,False,2026-05-05
USD,Us Dollar,2026-05-05,1365.5592,1366.0592,1366.5592,False,2026-05-05
WAU,Waua,2026-05-05,1870.1010,1870.7858,1871.4705,False,2026-05-05
AED,Uae Dirham,2026-05-05,371.7527,371.8888,372.0249,False,2026-05-05
