currency_code,currency,rate_date,buying_rate,central_rate,selling_rate,is_forward_filled,snapshot_date
XOF,Cfa,2026-05-06,2.4137,2.4237,2.4337,False,2026-05-06
CNY,Yuan/Renminbi,2026-05-06,199.1275,199.2009,199.2743,False,2026-05-06
DKK,Danish Krona,2026-05-06,213.2639,213.3425,213.4211,False,2026-05-06
EUR,Euro,2026-05-06,1593.8317,1594.4193,1595.0068,False,2026-05-06
JPY,Yen,2026-05-06,8.6850,8.6882,8.6914,False,2026-05-06
SAR,Riyal,2026-05-06,361.5453,361.6786,361.8118,False,2026-05-06
ZAR,South African Rand,2026-05-06,82.6682,82.6987,82.7291,False,2026-05-06
XDR,Sdr,2026-05-06,1862.7662,1863.4529,1864.1396,False,2026-05-06
CHF,Swiss Franc,2026-05-06,1738.4480,1739.0888,1739.7297,False,2026-05-06
GBP,Pounds Sterling,2026-05-06,1845.8392,1846.5196,1847.2001,False,2026-05-06
USD,Us Dollar,2026-05-06,1356.3371,1356.8371,1357.3371,False,2026-05-06
WAU,Waua,2026-05-06,1871.0778,1871.7676,1872.4573,False,2026-05-06
AED,Uae Dirham,2026-05-06,369.2421,369.3782,369.5144,False,2026-05-06
